dz_2021_code,type,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
N20000763,NI data zone,15,29,47,3,279
N20000764,NI data zone,11,29,47,3,305
N20000765,NI data zone,9,20,51,3,285
N20000767,NI data zone,17,40,93,6,407
N20000768,NI data zone,17,39,66,9,353
N20000770,NI data zone,21,50,64,5,436
N20000775,NI data zone,16,39,61,10,315
N20000776,NI data zone,14,40,52,5,425
N20000787,NI data zone,23,65,146,19,264
N20000788,NI data zone,20,74,197,13,431
N20000789,NI data zone,25,37,162,17,207
N20000790,NI data zone,20,45,56,11,341
N20000791,NI data zone,30,48,142,17,267
N20000792,NI data zone,11,51,126,7,243
N20000793,NI data zone,28,48,163,11,275
N20000794,NI data zone,23,53,117,7,370
N20000795,NI data zone,40,72,158,12,368
N20000796,NI data zone,34,47,203,50,381
N20000797,NI data zone,11,46,133,24,318
N20000798,NI data zone,24,56,117,12,289
N20000799,NI data zone,30,53,148,32,299
N20000800,NI data zone,30,74,146,10,334
N20000801,NI data zone,23,51,138,8,281
N20000802,NI data zone,23,41,168,19,275
N20000803,NI data zone,34,43,150,30,288
N20000804,NI data zone,19,39,105,15,166
N20000805,NI data zone,27,56,200,16,272
N20000806,NI data zone,23,52,169,10,224
N20000807,NI data zone,33,43,181,21,326
N20000808,NI data zone,32,44,148,31,267
N20000809,NI data zone,25,37,179,20,298
N20000810,NI data zone,21,43,155,23,186
N20000811,NI data zone,24,72,194,13,342
N20000812,NI data zone,15,33,87,16,167
N20000813,NI data zone,10,18,56,5,158
N20000814,NI data zone,9,33,104,6,183
N20000815,NI data zone,17,32,111,14,198
N20000816,NI data zone,29,54,177,18,333
N20000817,NI data zone,36,43,166,27,477
N20000818,NI data zone,20,43,114,17,249
N20000819,NI data zone,14,34,115,8,185
N20000820,NI data zone,11,54,93,11,273
N20000821,NI data zone,7,24,130,14,145
N20000822,NI data zone,9,22,60,16,137
N20000823,NI data zone,29,51,160,25,237
N20000824,NI data zone,36,46,146,20,388
N20000826,NI data zone,15,18,88,8,180
N20000827,NI data zone,28,53,166,23,246
N20000828,NI data zone,22,46,92,8,172
N20000829,NI data zone,9,29,106,8,175
N20000830,NI data zone,19,35,83,13,226
N20000831,NI data zone,27,41,132,6,317
N20000832,NI data zone,13,19,46,7,226
