dz_2021_code,type,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
N20000750,NI data zone,64,89,57,37,2
N20000751,NI data zone,37,52,53,48,10
N20000752,NI data zone,47,55,51,42,4
N20000753,NI data zone,37,71,56,47,7
N20000754,NI data zone,24,43,45,21,2
N20000755,NI data zone,39,45,71,35,3
N20000756,NI data zone,33,56,55,43,1
N20000757,NI data zone,41,46,40,25,1
N20000758,NI data zone,68,69,77,56,2
N20000759,NI data zone,37,49,45,22,6
N20000760,NI data zone,43,60,68,25,3
N20000761,NI data zone,29,68,75,61,4
N20000762,NI data zone,37,60,54,29,5
N20000763,NI data zone,23,41,44,32,1
N20000764,NI data zone,28,39,44,45,3
N20000765,NI data zone,25,46,50,64,18
N20000767,NI data zone,32,71,111,55,3
N20000768,NI data zone,29,56,81,57,2
N20000770,NI data zone,46,62,67,34,0
N20000775,NI data zone,31,53,70,51,11
N20000776,NI data zone,26,77,100,74,5
N20000787,NI data zone,94,70,35,13,0
N20000788,NI data zone,113,94,61,21,7
N20000789,NI data zone,109,84,32,15,1
N20000790,NI data zone,41,62,74,37,1
N20000791,NI data zone,78,75,46,7,1
N20000792,NI data zone,73,59,55,21,2
N20000793,NI data zone,103,72,41,11,0
N20000794,NI data zone,80,78,67,28,1
N20000795,NI data zone,95,112,92,33,1
N20000796,NI data zone,135,98,27,4,0
N20000797,NI data zone,106,79,50,8,1
N20000798,NI data zone,65,75,88,41,13
N20000799,NI data zone,122,62,12,1,0
N20000800,NI data zone,87,84,57,26,0
N20000801,NI data zone,61,72,68,28,1
N20000802,NI data zone,110,70,17,2,0
N20000803,NI data zone,116,62,31,2,0
N20000804,NI data zone,68,40,23,4,1
N20000805,NI data zone,110,66,36,6,2
N20000806,NI data zone,82,57,38,8,0
N20000807,NI data zone,123,80,24,2,0
N20000808,NI data zone,103,53,10,0,0
N20000809,NI data zone,111,71,26,5,1
N20000810,NI data zone,100,57,13,1,0
N20000811,NI data zone,68,104,63,24,0
N20000812,NI data zone,75,40,12,1,0
N20000813,NI data zone,19,59,55,37,12
N20000814,NI data zone,64,52,40,20,4
N20000815,NI data zone,74,48,19,2,0
N20000816,NI data zone,114,82,33,2,0
N20000817,NI data zone,117,71,41,15,5
N20000818,NI data zone,73,50,43,18,4
N20000819,NI data zone,77,43,25,4,0
N20000820,NI data zone,46,72,63,18,1
N20000821,NI data zone,76,56,35,16,2
N20000822,NI data zone,59,33,13,4,0
N20000823,NI data zone,107,71,35,6,0
N20000824,NI data zone,91,67,43,25,3
N20000826,NI data zone,63,42,24,9,0
N20000827,NI data zone,91,70,22,4,0
N20000828,NI data zone,63,63,36,9,0
N20000829,NI data zone,64,55,43,18,0
N20000830,NI data zone,50,45,45,19,5
N20000831,NI data zone,93,79,53,7,2
N20000832,NI data zone,41,46,47,15,2
N20000833,NI data zone,84,81,46,28,4
N20000834,NI data zone,40,59,41,20,0
N20000835,NI data zone,107,115,100,32,3
N20000836,NI data zone,56,68,98,56,12
N20000837,NI data zone,110,87,62,13,2
N20000838,NI data zone,85,57,39,11,2
