dz_2021_code,type,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20000231,NI data zone,207,94,33,18,8,25,95,9
N20000232,NI data zone,145,22,19,17,32,4,73,5
N20000233,NI data zone,242,53,43,14,24,7,81,14
N20000234,NI data zone,206,47,19,9,27,11,98,5
N20000235,NI data zone,161,41,42,17,21,23,62,2
N20000236,NI data zone,145,71,50,21,29,15,99,10
N20000237,NI data zone,115,82,38,33,17,9,116,5
N20000238,NI data zone,368,35,33,11,21,6,105,5
N20000239,NI data zone,191,83,45,18,39,10,75,3
N20000240,NI data zone,166,33,26,7,15,11,84,6
N20000241,NI data zone,69,89,15,17,23,23,54,2
N20000242,NI data zone,96,103,54,25,22,17,133,1
N20000243,NI data zone,227,19,12,3,9,6,73,5
N20000244,NI data zone,489,34,25,9,13,8,97,17
N20000245,NI data zone,332,3,8,0,2,0,47,6
N20000246,NI data zone,390,19,18,7,10,4,86,10
N20000247,NI data zone,301,17,10,13,21,10,78,7
N20000248,NI data zone,64,53,40,13,25,1,72,2
N20000249,NI data zone,281,5,15,4,5,3,37,3
N20000250,NI data zone,314,17,4,1,2,0,43,9
N20000251,NI data zone,579,17,15,8,25,3,63,4
N20000252,NI data zone,358,13,9,11,8,4,46,1
N20000253,NI data zone,425,54,24,7,13,0,85,9
N20000254,NI data zone,376,33,16,2,12,0,53,8
N20000255,NI data zone,429,12,6,0,29,15,44,10
N20000256,NI data zone,444,15,15,6,6,10,56,12
N20000257,NI data zone,41,117,42,9,19,5,61,13
N20000258,NI data zone,67,179,68,7,65,6,122,2
N20000259,NI data zone,63,241,79,15,42,11,130,7
N20000260,NI data zone,93,215,116,7,40,11,164,9
N20000261,NI data zone,69,428,64,18,109,0,194,11
N20000262,NI data zone,93,204,61,26,120,11,127,9
N20000263,NI data zone,81,198,64,7,49,15,137,9
N20000264,NI data zone,156,121,71,8,82,22,213,10
N20000265,NI data zone,172,101,40,17,60,5,134,9
N20000266,NI data zone,55,128,41,4,57,5,83,3
N20000267,NI data zone,477,80,39,22,46,9,131,4
N20000268,NI data zone,176,190,87,13,50,4,122,24
N20000269,NI data zone,100,185,92,52,83,1,120,17
N20000270,NI data zone,231,16,15,1,20,6,59,2
N20000271,NI data zone,282,28,27,10,52,0,112,0
N20000272,NI data zone,385,42,28,4,25,7,165,1
N20000273,NI data zone,303,19,5,1,3,5,67,2
N20000274,NI data zone,46,249,64,17,65,2,87,5
N20000275,NI data zone,267,48,21,7,17,7,122,2
N20000276,NI data zone,388,21,16,2,31,5,130,6
N20000277,NI data zone,371,9,4,0,4,7,37,0
N20000278,NI data zone,76,196,48,13,73,0,110,7
N20000279,NI data zone,290,102,64,15,184,26,640,12
N20000280,NI data zone,86,238,70,34,80,4,135,10
N20000281,NI data zone,222,156,81,35,49,1,116,5
N20000282,NI data zone,211,57,54,10,20,0,72,4
N20000283,NI data zone,512,51,33,5,13,4,125,6
N20000284,NI data zone,445,36,21,0,8,3,94,9
N20000285,NI data zone,213,210,55,8,56,4,97,9
N20000286,NI data zone,419,15,19,0,7,0,58,2
N20000287,NI data zone,620,7,16,1,19,4,67,4
N20000288,NI data zone,281,56,56,1,9,11,60,7
N20000289,NI data zone,243,30,13,0,5,9,46,10
N20000290,NI data zone,210,21,16,1,14,0,33,7
N20000291,NI data zone,210,33,33,2,4,2,29,5
N20000292,NI data zone,445,8,13,2,9,0,75,10
N20000293,NI data zone,313,62,42,9,18,0,88,2
N20000294,NI data zone,599,10,15,0,8,3,84,5
N20000476,NI data zone,436,15,26,22,14,2,50,4
N20000711,NI data zone,27,208,191,51,92,16,163,17
N20000712,NI data zone,373,11,17,2,10,0,55,7
N20000713,NI data zone,269,80,68,12,31,6,101,16
N20000714,NI data zone,14,88,44,8,21,5,64,4
N20000715,NI data zone,514,7,3,0,2,2,44,9
N20000716,NI data zone,58,130,102,41,76,16,198,5
N20000717,NI data zone,18,206,107,48,44,6,149,10
N20000718,NI data zone,28,131,88,44,35,7,95,22
N20000719,NI data zone,445,4,3,3,16,4,38,16
N20000720,NI data zone,20,122,83,34,66,1,59,3
N20000721,NI data zone,101,77,61,14,49,3,50,4
N20000722,NI data zone,44,87,66,33,36,11,128,7
N20000723,NI data zone,47,152,100,37,63,12,143,17
N20000724,NI data zone,379,1,2,3,5,1,54,1
N20000725,NI data zone,305,5,3,4,15,9,29,2
N20000726,NI data zone,238,53,52,33,21,9,122,8
N20000727,NI data zone,37,91,66,36,25,2,121,10
N20000728,NI data zone,44,121,88,20,57,2,90,5
N20000729,NI data zone,27,96,56,19,40,2,110,9
N20000730,NI data zone,66,205,142,40,80,8,140,21
N20000731,NI data zone,470,14,11,7,59,42,118,8
N20000732,NI data zone,411,12,4,8,13,8,51,7
N20000733,NI data zone,397,35,28,11,10,7,93,9
N20000734,NI data zone,281,5,1,0,4,3,56,8
N20000735,NI data zone,439,7,3,0,9,1,56,3
N20000736,NI data zone,25,112,68,20,41,22,133,6
N20000737,NI data zone,49,113,104,21,65,16,116,7
N20000738,NI data zone,300,4,0,0,17,22,102,22
N20000739,NI data zone,31,88,76,29,21,3,60,1
N20000740,NI data zone,349,11,6,0,8,5,51,8
N20000741,NI data zone,361,2,2,1,3,19,56,5
N20000742,NI data zone,48,82,78,12,44,3,116,6
N20000743,NI data zone,312,41,9,6,12,4,60,4
N20000744,NI data zone,98,127,92,25,46,0,102,5
N20000745,NI data zone,255,6,9,0,27,23,71,9
N20000746,NI data zone,539,10,6,0,11,24,67,16
N20000747,NI data zone,264,7,5,1,10,7,91,4
N20000748,NI data zone,584,18,0,1,12,11,45,16
N20000749,NI data zone,496,9,27,5,19,17,67,8
