dz_2021_code,type,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20000244,NI data zone,19,35,34,63,17,22,20,17,10
N20000245,NI data zone,14,21,21,26,28,12,15,12,6
N20000246,NI data zone,13,47,46,48,20,11,6,21,6
N20000247,NI data zone,23,39,17,45,14,18,13,13,9
N20000248,NI data zone,30,18,31,10,9,13,8,12,7
N20000249,NI data zone,19,29,12,28,11,24,8,13,0
N20000250,NI data zone,16,30,21,33,12,18,7,8,6
N20000251,NI data zone,6,34,41,75,28,20,14,9,12
N20000252,NI data zone,14,35,25,31,29,12,9,17,7
N20000253,NI data zone,31,20,30,46,31,15,11,50,9
N20000254,NI data zone,36,15,27,39,24,4,13,42,3
N20000255,NI data zone,9,17,35,53,29,14,8,6,9
N20000256,NI data zone,2,23,30,72,21,18,7,7,5
N20000257,NI data zone,30,25,17,21,8,4,8,31,4
N20000258,NI data zone,33,28,34,42,19,8,3,30,7
N20000259,NI data zone,56,37,29,36,17,17,11,63,7
N20000260,NI data zone,40,23,56,64,25,9,9,36,5
N20000261,NI data zone,27,12,45,97,38,6,11,48,17
N20000262,NI data zone,33,14,40,63,24,7,17,43,6
N20000263,NI data zone,21,35,48,56,16,7,7,31,11
N20000264,NI data zone,16,96,49,65,10,21,12,10,11
N20000265,NI data zone,13,40,49,48,24,17,6,8,7
N20000266,NI data zone,12,18,34,40,17,9,6,10,2
N20000267,NI data zone,4,41,40,122,12,32,10,4,8
N20000268,NI data zone,23,26,34,51,35,1,4,25,10
N20000269,NI data zone,35,29,43,52,33,16,14,24,8
N20000270,NI data zone,7,49,23,34,3,23,5,4,3
N20000271,NI data zone,2,15,20,78,14,15,6,10,0
N20000272,NI data zone,1,40,55,99,5,19,6,3,5
N20000273,NI data zone,5,42,22,44,8,22,9,5,4
N20000274,NI data zone,26,17,34,49,24,5,10,24,9
N20000275,NI data zone,1,38,41,73,3,12,5,4,5
N20000276,NI data zone,5,24,37,96,7,16,3,3,6
N20000277,NI data zone,2,21,22,55,10,17,4,2,6
N20000278,NI data zone,17,11,38,45,30,3,10,23,9
N20000279,NI data zone,14,29,61,109,16,12,6,15,10
N20000280,NI data zone,10,18,54,67,28,3,1,27,15
N20000281,NI data zone,20,16,45,61,36,11,10,26,8
N20000282,NI data zone,15,8,22,35,30,1,12,16,7
N20000283,NI data zone,23,60,44,62,14,49,13,22,9
N20000284,NI data zone,17,30,21,59,29,28,11,7,9
N20000285,NI data zone,20,23,28,59,27,7,7,35,16
N20000286,NI data zone,8,22,22,59,21,8,14,14,8
N20000287,NI data zone,15,29,30,83,30,24,11,12,9
N20000288,NI data zone,32,62,22,35,13,28,10,8,8
N20000289,NI data zone,20,44,13,25,14,20,10,7,0
N20000290,NI data zone,44,15,10,17,4,27,3,7,4
N20000291,NI data zone,18,23,25,20,17,7,12,10,2
N20000292,NI data zone,5,17,23,51,31,23,10,8,13
N20000293,NI data zone,14,15,25,47,31,4,13,24,8
N20000294,NI data zone,26,35,43,67,38,21,13,13,14
N20000476,NI data zone,10,12,24,60,25,7,14,11,11
N20000711,NI data zone,12,10,51,73,38,17,11,11,22
N20000712,NI data zone,4,30,13,51,8,34,3,5,13
N20000713,NI data zone,6,34,20,39,12,62,14,6,9
N20000714,NI data zone,9,18,10,14,7,27,12,1,4
N20000715,NI data zone,21,36,19,34,21,46,18,18,13
N20000716,NI data zone,31,92,63,44,10,27,16,25,6
N20000717,NI data zone,24,33,29,28,22,45,25,9,14
N20000718,NI data zone,14,36,22,34,5,35,17,8,6
N20000719,NI data zone,24,57,10,11,8,61,24,7,18
N20000720,NI data zone,15,15,37,26,20,9,11,22,7
N20000721,NI data zone,13,10,22,27,19,15,8,14,8
N20000722,NI data zone,22,68,33,31,11,8,12,13,8
N20000723,NI data zone,35,67,28,40,17,32,12,17,16
N20000724,NI data zone,7,33,24,41,9,29,6,2,10
N20000725,NI data zone,20,52,8,10,2,46,15,11,9
N20000726,NI data zone,29,60,35,38,19,17,10,22,12
N20000727,NI data zone,13,48,24,24,11,21,5,27,5
N20000728,NI data zone,55,41,15,29,14,19,10,18,4
N20000729,NI data zone,11,40,15,20,10,29,18,7,7
N20000730,NI data zone,43,60,38,28,18,53,20,19,15
N20000731,NI data zone,0,48,43,89,9,30,7,5,17
N20000732,NI data zone,50,22,18,35,22,20,23,15,11
N20000733,NI data zone,21,54,31,42,18,31,20,11,13
N20000734,NI data zone,11,15,18,30,17,8,9,14,6
N20000735,NI data zone,28,18,21,31,23,20,23,18,12
N20000736,NI data zone,40,87,22,26,8,26,10,12,8
N20000737,NI data zone,24,59,30,23,12,34,10,18,14
N20000738,NI data zone,19,52,16,27,13,20,13,14,10
N20000739,NI data zone,34,36,10,15,11,21,12,5,4
N20000740,NI data zone,19,29,12,19,21,23,21,18,12
N20000741,NI data zone,14,44,22,22,20,23,23,10,10
N20000742,NI data zone,18,46,25,25,12,19,12,8,8
N20000743,NI data zone,19,48,14,20,10,54,16,8,10
N20000744,NI data zone,14,60,25,14,11,59,18,8,9
N20000745,NI data zone,37,72,12,12,6,27,13,6,18
N20000746,NI data zone,24,66,22,26,14,81,26,8,13
N20000747,NI data zone,14,75,20,19,10,15,22,6,11
N20000748,NI data zone,20,60,9,24,11,76,24,15,21
N20000749,NI data zone,14,44,7,18,7,91,23,9,15
N20000750,NI data zone,28,77,35,23,12,23,21,14,17
N20000751,NI data zone,16,61,9,9,9,55,26,8,5
N20000752,NI data zone,18,59,15,12,8,53,15,10,8
N20000753,NI data zone,18,59,5,17,7,60,26,12,13
N20000754,NI data zone,30,63,5,7,0,15,4,6,4
N20000755,NI data zone,19,36,10,12,15,45,27,12,19
N20000756,NI data zone,29,39,9,11,10,49,20,4,18
N20000757,NI data zone,12,39,10,19,4,27,10,7,25
N20000758,NI data zone,40,79,8,16,15,65,25,17,7
N20000759,NI data zone,13,64,15,13,0,19,12,5,17
N20000760,NI data zone,28,56,15,15,11,41,18,4,10
N20000761,NI data zone,32,57,7,12,9,67,26,9,15
N20000762,NI data zone,20,56,11,15,7,35,20,15,6
N20000763,NI data zone,14,29,7,12,3,49,14,5,10
N20000764,NI data zone,13,82,7,8,7,19,10,3,7
N20000765,NI data zone,39,77,11,12,5,41,11,2,2
N20000767,NI data zone,41,83,15,11,12,52,29,15,17
N20000768,NI data zone,38,54,5,6,12,55,30,9,15
N20000770,NI data zone,11,40,6,13,10,87,26,7,10
N20000775,NI data zone,18,84,6,9,7,47,25,3,18
N20000776,NI data zone,42,104,14,14,9,61,15,15,8
N20000787,NI data zone,25,35,38,36,19,23,12,19,3
N20000788,NI data zone,31,49,36,51,26,40,19,33,12
N20000789,NI data zone,18,93,34,19,13,21,11,18,14
N20000790,NI data zone,31,59,13,26,10,37,15,12,12
N20000791,NI data zone,21,33,35,37,19,21,14,15,12
N20000792,NI data zone,17,63,22,18,10,36,22,8,12
N20000793,NI data zone,20,56,28,32,12,28,19,19,15
N20000794,NI data zone,23,82,17,22,13,51,21,8,17
N20000795,NI data zone,44,112,40,37,11,37,13,17,20
N20000796,NI data zone,35,25,31,68,34,7,15,39,8
N20000797,NI data zone,54,47,33,32,11,8,12,35,10
N20000798,NI data zone,45,109,26,22,10,29,14,15,12
N20000799,NI data zone,25,9,28,60,35,3,7,31,1
N20000800,NI data zone,29,41,33,30,23,37,26,16,18
N20000801,NI data zone,28,47,29,19,23,37,24,17,6
N20000802,NI data zone,21,16,38,46,23,4,12,31,7
N20000803,NI data zone,24,35,30,49,17,16,8,24,11
N20000804,NI data zone,16,22,19,30,16,8,8,13,4
N20000805,NI data zone,26,23,40,58,17,18,12,19,6
N20000806,NI data zone,15,22,37,43,27,12,13,11,5
N20000807,NI data zone,38,19,25,53,34,3,13,31,13
N20000808,NI data zone,16,8,20,52,24,7,6,25,9
N20000809,NI data zone,32,18,35,53,16,16,10,22,10
N20000810,NI data zone,15,26,26,48,11,8,11,17,5
N20000811,NI data zone,18,45,29,35,33,40,20,22,16
N20000812,NI data zone,20,16,14,29,14,6,6,17,4
N20000813,NI data zone,27,110,14,4,1,10,6,9,1
N20000814,NI data zone,20,85,14,12,10,25,9,2,6
N20000815,NI data zone,16,8,29,31,16,5,7,23,5
N20000816,NI data zone,36,12,32,59,23,14,18,34,3
N20000817,NI data zone,57,36,30,52,25,15,10,13,9
N20000818,NI data zone,23,51,27,30,9,6,9,10,22
N20000819,NI data zone,22,24,19,31,19,6,14,10,5
N20000820,NI data zone,31,47,20,22,13,29,21,13,4
N20000821,NI data zone,12,77,39,9,3,17,9,8,11
N20000822,NI data zone,30,17,7,28,6,0,6,10,3
N20000823,NI data zone,26,44,38,38,25,12,13,18,5
N20000824,NI data zone,8,66,21,33,13,35,17,8,28
N20000826,NI data zone,20,39,24,17,8,8,8,10,5
N20000827,NI data zone,18,26,32,53,14,7,8,14,18
