dz_2021_code,type,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20000879,NI data zone,34,50,22,12,29,4,109,5
N20000880,NI data zone,40,118,67,26,45,1,118,4
N20000881,NI data zone,51,106,66,23,44,11,159,7
N20000882,NI data zone,68,32,21,2,15,208,147,4
N20000883,NI data zone,35,83,49,15,35,7,139,10
N20000884,NI data zone,32,64,42,20,33,12,95,6
N20000885,NI data zone,61,94,54,20,30,10,115,5
N20000886,NI data zone,309,52,15,6,14,3,52,4
N20000887,NI data zone,591,10,3,0,3,6,21,5
N20000888,NI data zone,67,72,55,19,45,20,232,13
N20000889,NI data zone,13,52,29,19,37,1,128,2
N20000890,NI data zone,70,74,48,19,58,10,192,8
N20000891,NI data zone,40,74,54,18,30,13,137,5
N20000892,NI data zone,26,159,85,35,69,12,120,17
N20000893,NI data zone,68,121,64,41,46,23,141,10
N20000894,NI data zone,321,69,33,9,31,0,84,1
N20000895,NI data zone,28,32,20,8,36,13,89,5
N20000896,NI data zone,615,23,6,1,19,6,53,7
N20000897,NI data zone,54,82,43,15,24,11,159,23
N20000898,NI data zone,43,45,33,9,37,9,88,6
N20000899,NI data zone,65,65,48,12,38,26,174,16
N20000900,NI data zone,12,100,58,18,44,14,104,7
N20000901,NI data zone,108,47,13,9,25,8,136,11
N20000902,NI data zone,132,96,85,18,57,4,203,11
N20000903,NI data zone,26,161,67,16,39,8,93,19
N20000904,NI data zone,279,53,29,12,21,25,84,12
N20000905,NI data zone,66,62,46,12,37,15,156,13
N20000906,NI data zone,15,44,29,5,22,8,91,3
N20000907,NI data zone,47,75,24,5,56,18,173,7
N20000908,NI data zone,52,79,38,11,37,21,173,19
N20000909,NI data zone,69,161,91,52,86,9,214,11
N20000910,NI data zone,34,120,45,7,31,12,123,12
N20000911,NI data zone,10,95,60,8,39,3,63,1
N20000912,NI data zone,65,56,32,9,29,23,131,4
N20000913,NI data zone,64,61,33,5,31,12,105,8
