dz_2021_code,type,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20003745,NI data zone,6,174,65,19,52,6,116,0
N20003746,NI data zone,25,180,64,12,56,7,124,3
N20003747,NI data zone,25,170,69,16,82,3,116,7
N20003748,NI data zone,12,164,73,4,61,1,57,10
N20003749,NI data zone,6,118,67,9,45,2,103,9
N20003750,NI data zone,9,155,106,22,37,0,108,8
N20003751,NI data zone,2,131,71,17,39,4,115,5
N20003752,NI data zone,19,143,73,9,32,3,92,6
N20003753,NI data zone,16,126,79,17,50,1,141,4
N20003754,NI data zone,14,171,125,7,45,8,115,5
N20003755,NI data zone,37,175,29,22,84,5,118,7
N20003756,NI data zone,238,98,31,15,23,4,130,5
N20003757,NI data zone,30,186,75,34,91,12,224,9
N20003758,NI data zone,29,201,116,29,117,8,242,8
N20003759,NI data zone,233,53,27,2,16,6,69,4
N20003760,NI data zone,272,31,49,11,8,1,66,3
N20003761,NI data zone,149,162,55,50,65,7,141,8
N20003762,NI data zone,12,71,61,12,73,5,134,4
N20003763,NI data zone,244,76,30,7,42,1,98,3
N20003764,NI data zone,0,124,67,10,83,0,79,5
N20003765,NI data zone,4,122,43,6,75,1,102,6
N20003766,NI data zone,32,238,103,35,116,4,176,12
N20003767,NI data zone,57,100,46,13,58,4,87,3
N20003768,NI data zone,23,150,69,15,99,4,102,4
N20003769,NI data zone,164,111,44,12,42,3,99,1
N20003770,NI data zone,71,107,34,33,24,2,105,1
N20003771,NI data zone,351,95,60,13,34,7,149,19
N20003772,NI data zone,172,128,43,22,44,8,84,7
N20003773,NI data zone,468,77,36,8,22,0,105,11
N20003774,NI data zone,229,60,22,3,21,0,80,6
N20003775,NI data zone,475,25,18,1,9,0,64,6
N20003776,NI data zone,388,15,12,3,1,0,24,3
N20003777,NI data zone,382,9,4,0,8,2,37,6
N20003778,NI data zone,351,9,14,3,10,1,39,3
N20003779,NI data zone,327,15,18,5,6,7,59,8
N20003780,NI data zone,260,51,37,5,15,0,73,5
