dz_2021_code,type,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20000497,NI data zone,2,14,21,77,9,7,4,4,4
N20000498,NI data zone,22,105,22,22,3,25,9,9,28
N20000499,NI data zone,7,30,15,72,7,28,11,4,8
N20000500,NI data zone,15,54,19,22,12,12,9,10,16
N20000501,NI data zone,2,39,47,95,4,9,1,2,2
N20000502,NI data zone,14,38,32,49,14,8,9,13,8
N20000503,NI data zone,62,34,18,22,20,4,7,26,5
N20000504,NI data zone,13,55,12,25,9,16,12,9,10
N20000505,NI data zone,42,94,12,14,4,12,17,10,6
N20000506,NI data zone,21,121,19,26,7,22,12,11,16
N20000507,NI data zone,34,47,45,64,15,29,15,25,6
N20000508,NI data zone,14,40,21,19,10,23,16,15,9
N20000509,NI data zone,16,50,15,12,8,23,11,7,14
N20000510,NI data zone,19,22,40,67,19,9,8,27,13
N20000511,NI data zone,34,33,25,33,25,19,19,16,13
N20000512,NI data zone,26,78,25,35,11,25,15,9,13
N20000513,NI data zone,17,25,18,46,12,8,9,16,2
N20000514,NI data zone,16,21,26,54,13,14,12,12,12
N20000515,NI data zone,45,70,30,32,10,34,17,14,10
N20000516,NI data zone,46,79,14,28,13,20,16,20,4
N20000517,NI data zone,39,52,34,32,16,20,16,19,7
N20000518,NI data zone,10,16,34,39,24,3,15,24,9
N20000519,NI data zone,29,52,13,20,7,11,10,17,5
N20000520,NI data zone,21,25,43,81,30,11,9,18,5
N20000521,NI data zone,19,29,37,77,27,9,13,27,7
N20000522,NI data zone,31,16,20,34,21,14,16,30,12
N20000523,NI data zone,35,43,26,35,12,16,16,20,6
N20000524,NI data zone,61,100,15,18,7,23,16,24,6
N20000525,NI data zone,53,78,16,13,9,27,14,14,12
N20000526,NI data zone,17,68,24,26,3,11,11,7,8
N20000527,NI data zone,37,61,30,46,12,26,8,13,10
N20000528,NI data zone,29,47,14,22,20,28,14,13,3
N20000529,NI data zone,26,36,19,48,8,23,11,14,7
N20000530,NI data zone,3,29,17,73,3,25,6,1,7
N20000531,NI data zone,24,17,22,41,19,9,8,19,4
N20000532,NI data zone,22,78,8,7,6,9,14,11,5
N20000533,NI data zone,35,38,27,26,9,8,3,20,5
N20000534,NI data zone,34,41,17,31,9,19,13,8,9
N20000535,NI data zone,11,22,27,57,11,27,5,5,8
N20000536,NI data zone,20,18,47,76,28,46,15,13,10
N20000537,NI data zone,42,30,30,36,25,12,10,31,5
N20000538,NI data zone,7,32,22,81,16,27,14,8,17
N20000539,NI data zone,36,29,15,30,10,22,18,24,8
N20000540,NI data zone,22,42,13,36,9,25,20,15,12
N20000541,NI data zone,21,48,20,29,24,23,16,26,10
N20000542,NI data zone,23,33,31,36,24,8,14,31,8
N20000543,NI data zone,10,32,16,38,17,39,17,8,10
N20000544,NI data zone,33,39,37,47,20,16,11,26,5
