dz_2021_code,type,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20002470,NI data zone,27,27,35,74,40,11,13,30,2
N20002471,NI data zone,16,54,37,36,16,11,10,11,2
N20002472,NI data zone,22,13,26,44,15,2,4,45,8
N20002473,NI data zone,41,24,26,42,15,3,8,28,6
N20002474,NI data zone,15,43,57,70,48,7,9,16,8
N20002475,NI data zone,41,25,20,36,31,3,4,42,6
N20002476,NI data zone,16,35,57,83,33,10,6,12,6
N20002477,NI data zone,30,49,43,28,11,3,8,19,6
N20002478,NI data zone,16,27,38,74,44,2,10,29,8
N20002479,NI data zone,16,20,23,36,18,3,3,6,5
N20002480,NI data zone,3,29,29,120,5,6,4,6,0
N20002481,NI data zone,20,52,37,62,20,35,22,9,9
N20002482,NI data zone,7,27,40,117,15,10,3,5,4
N20002483,NI data zone,27,19,46,83,67,7,11,18,5
N20002484,NI data zone,34,58,34,74,22,6,9,34,4
N20002485,NI data zone,21,14,27,41,17,7,3,27,3
N20002486,NI data zone,21,10,11,16,14,2,7,27,5
N20002487,NI data zone,12,7,43,64,62,9,12,15,12
N20002488,NI data zone,32,18,53,72,10,7,9,16,3
N20002489,NI data zone,21,15,23,23,18,10,9,18,5
N20002490,NI data zone,62,21,34,53,19,6,11,45,4
N20002491,NI data zone,29,30,40,53,20,9,5,41,5
N20002492,NI data zone,21,33,25,25,18,18,8,2,5
N20002493,NI data zone,44,35,3,14,10,35,8,3,4
N20002494,NI data zone,7,55,38,37,7,26,8,4,5
N20002495,NI data zone,22,21,40,80,27,8,7,19,6
N20002496,NI data zone,26,39,39,91,22,23,11,13,9
N20002497,NI data zone,13,53,33,47,12,12,11,6,7
N20002498,NI data zone,20,12,16,48,22,4,9,10,6
N20002499,NI data zone,23,17,45,73,30,5,9,26,13
N20002500,NI data zone,16,30,67,100,41,12,11,18,9
N20002501,NI data zone,21,15,46,46,27,1,8,28,5
N20002502,NI data zone,30,18,36,31,23,6,3,18,6
N20002503,NI data zone,21,29,60,54,27,5,11,16,5
N20002504,NI data zone,20,27,26,24,6,10,5,14,5
N20002505,NI data zone,1,8,28,96,12,3,2,9,3
N20002506,NI data zone,19,35,20,23,12,3,6,15,11
N20002507,NI data zone,41,22,17,10,6,5,7,13,4
N20002508,NI data zone,46,90,45,27,10,16,8,30,9
N20002509,NI data zone,8,42,65,75,11,8,5,8,1
N20002510,NI data zone,21,71,24,15,5,21,10,7,11
N20002511,NI data zone,33,46,31,28,9,29,25,19,9
N20002512,NI data zone,48,50,38,28,6,22,16,23,9
N20002513,NI data zone,21,46,17,16,11,7,12,32,6
N20002514,NI data zone,30,40,19,38,25,34,26,29,10
N20002515,NI data zone,11,19,41,62,26,21,6,13,5
N20002516,NI data zone,31,54,46,49,17,13,10,32,8
N20002517,NI data zone,13,30,15,26,3,16,10,4,8
N20002518,NI data zone,7,46,38,59,18,7,2,7,4
N20002519,NI data zone,14,16,27,32,14,4,3,12,1
N20002520,NI data zone,34,20,33,46,8,14,7,16,7
N20002521,NI data zone,30,79,23,25,18,41,12,11,7
N20002522,NI data zone,27,47,17,21,13,25,15,15,1
N20002523,NI data zone,20,63,18,19,8,24,17,8,2
N20002524,NI data zone,28,69,38,40,25,12,13,16,5
N20002525,NI data zone,41,45,27,29,6,8,6,13,5
N20002526,NI data zone,6,53,63,87,4,9,2,7,3
N20002527,NI data zone,35,50,30,45,22,42,22,13,13
N20002528,NI data zone,2,33,35,52,3,12,0,1,0
N20002529,NI data zone,40,33,23,24,9,18,5,15,3
N20002530,NI data zone,42,50,26,27,19,18,16,17,5
N20002531,NI data zone,31,55,30,16,14,8,3,17,4
N20002532,NI data zone,25,33,34,44,15,11,8,23,3
N20002533,NI data zone,17,21,25,22,9,25,11,4,4
N20002534,NI data zone,33,28,34,47,17,15,11,26,13
N20002535,NI data zone,11,9,22,43,21,5,6,10,2
N20002536,NI data zone,28,40,43,51,20,11,10,34,7
N20002537,NI data zone,32,13,36,21,13,1,5,32,2
N20002538,NI data zone,3,35,63,58,4,4,5,3,3
N20002539,NI data zone,3,34,54,57,4,9,4,4,2
N20002540,NI data zone,26,20,36,35,21,2,8,15,9
N20002541,NI data zone,26,16,29,43,18,4,9,24,9
N20002542,NI data zone,20,17,44,33,7,5,9,29,3
N20002543,NI data zone,16,20,16,19,6,8,2,25,2
N20002544,NI data zone,30,38,22,32,16,14,8,14,3
N20002545,NI data zone,18,19,51,58,35,4,13,16,4
N20002546,NI data zone,23,19,57,64,29,5,11,31,3
N20002547,NI data zone,18,21,25,54,30,3,6,27,14
N20003208,NI data zone,11,12,14,59,22,3,9,13,3
N20003209,NI data zone,22,13,24,58,27,9,9,15,9
N20003210,NI data zone,15,16,22,50,22,4,10,19,5
N20003211,NI data zone,19,12,16,58,33,11,13,17,10
N20003213,NI data zone,26,31,30,76,55,9,11,28,13
N20003214,NI data zone,18,21,34,96,39,12,25,19,19
N20003215,NI data zone,25,30,27,68,21,23,18,15,17
N20003216,NI data zone,18,14,30,89,26,5,11,19,8
N20003217,NI data zone,24,35,22,45,15,35,14,15,4
N20003218,NI data zone,16,24,23,86,18,21,10,8,5
N20003219,NI data zone,11,11,21,51,28,7,8,17,5
N20003220,NI data zone,23,44,28,48,19,32,12,11,4
N20003221,NI data zone,19,46,36,101,24,29,22,9,9
N20003222,NI data zone,13,8,13,73,25,4,12,12,11
N20003223,NI data zone,14,29,23,53,14,10,11,12,10
N20003225,NI data zone,19,16,17,74,40,8,9,20,18
N20003226,NI data zone,19,24,26,88,20,21,18,20,9
N20003227,NI data zone,17,19,27,84,35,13,13,11,12
N20003229,NI data zone,17,12,18,52,25,4,15,20,14
N20003230,NI data zone,16,19,33,66,39,9,9,20,14
N20003231,NI data zone,15,30,23,57,38,15,16,24,14
N20003232,NI data zone,7,9,10,47,15,2,8,20,6
N20003234,NI data zone,11,14,28,87,28,10,16,14,5
N20003235,NI data zone,16,18,29,66,27,7,17,20,9
N20003236,NI data zone,25,28,39,67,42,16,14,18,3
N20003237,NI data zone,27,13,20,60,36,0,5,31,4
N20003238,NI data zone,14,25,27,51,27,15,12,9,8
N20003239,NI data zone,32,34,28,43,34,21,19,14,11
N20003240,NI data zone,30,30,38,78,28,9,13,33,6
N20003241,NI data zone,18,43,37,69,13,31,15,6,11
N20003242,NI data zone,31,71,28,24,11,18,12,16,12
N20003243,NI data zone,21,32,22,48,28,25,15,17,6
N20003244,NI data zone,18,44,28,48,21,31,27,4,6
N20003245,NI data zone,7,20,8,11,15,27,26,2,3
N20003246,NI data zone,21,29,14,36,13,24,16,18,13
N20003247,NI data zone,19,7,9,16,12,1,4,25,4
N20003248,NI data zone,30,68,25,28,10,14,20,16,6
N20003249,NI data zone,28,31,7,18,8,18,7,14,6
N20003250,NI data zone,41,40,33,40,20,12,8,24,4
N20003251,NI data zone,44,30,10,17,4,6,8,6,4
N20003252,NI data zone,34,34,16,20,23,13,7,32,9
N20003253,NI data zone,35,42,34,27,21,10,15,23,8
N20003254,NI data zone,70,39,18,29,15,11,6,16,1
N20003255,NI data zone,42,73,18,19,10,15,13,15,12
N20003256,NI data zone,30,24,27,30,23,6,13,34,3
N20003257,NI data zone,28,35,38,69,30,9,8,36,8
N20003258,NI data zone,13,21,16,34,11,22,8,14,6
N20003259,NI data zone,20,27,27,33,27,6,6,28,16
N20003260,NI data zone,9,27,28,66,17,23,14,6,6
N20003261,NI data zone,23,16,20,71,38,8,10,20,12
N20003262,NI data zone,24,43,39,44,14,29,14,14,14
N20003263,NI data zone,16,48,11,23,11,62,23,7,7
N20003264,NI data zone,22,8,28,58,22,7,3,17,4
N20003265,NI data zone,20,55,22,19,10,25,16,18,17
N20003266,NI data zone,60,54,22,34,19,14,18,38,20
N20003267,NI data zone,23,49,15,22,10,31,12,9,9
N20003268,NI data zone,27,22,41,52,22,8,14,37,5
N20003269,NI data zone,23,60,19,32,16,30,23,17,4
N20003270,NI data zone,47,27,30,37,22,9,6,44,10
N20003271,NI data zone,42,73,25,18,13,15,15,21,5
N20003272,NI data zone,17,24,32,60,24,16,15,14,10
N20003273,NI data zone,26,52,32,38,29,14,10,38,10
N20003274,NI data zone,42,39,43,45,29,14,11,42,11
N20003275,NI data zone,24,16,18,37,24,4,6,33,8
N20003276,NI data zone,37,15,21,66,33,8,6,17,10
N20003277,NI data zone,28,26,30,29,20,12,14,25,7
N20003278,NI data zone,72,64,21,31,6,5,10,27,10
N20003279,NI data zone,54,51,18,21,10,4,11,17,3
N20003280,NI data zone,19,10,20,54,23,2,11,10,6
N20003281,NI data zone,33,23,33,54,26,9,12,31,8
N20003282,NI data zone,30,19,30,69,34,10,14,31,13
N20003283,NI data zone,20,18,19,57,35,12,8,17,11
N20003284,NI data zone,30,58,21,50,21,24,19,7,4
N20003285,NI data zone,19,34,24,37,20,9,12,16,4
N20003286,NI data zone,13,22,31,42,14,25,12,13,6
N20003287,NI data zone,34,31,34,42,22,4,21,29,8
N20003288,NI data zone,18,14,31,78,30,7,9,23,8
N20003289,NI data zone,36,27,21,61,23,5,8,22,4
N20003290,NI data zone,18,20,13,56,31,7,17,25,11
N20003291,NI data zone,15,22,22,60,33,9,8,18,10
N20003292,NI data zone,26,22,30,76,34,5,8,37,13
N20003293,NI data zone,28,12,36,80,40,13,14,24,13
N20003294,NI data zone,18,26,31,55,15,11,4,17,5
N20003295,NI data zone,25,25,24,62,27,7,5,28,4
N20003296,NI data zone,22,23,19,43,14,6,12,14,4
N20003297,NI data zone,26,38,30,72,20,25,8,16,10
N20003298,NI data zone,20,18,24,54,18,16,6,14,4
N20003299,NI data zone,27,37,20,63,11,54,12,17,4
N20003300,NI data zone,33,29,48,60,32,14,12,31,6
N20003301,NI data zone,50,71,32,42,16,14,20,14,13
N20003302,NI data zone,36,57,21,42,22,30,30,24,8
N20003303,NI data zone,20,47,10,27,12,33,13,17,5
N20003304,NI data zone,42,46,36,73,22,43,17,30,12
N20003305,NI data zone,33,39,13,21,5,11,13,14,3
N20003306,NI data zone,36,47,23,32,23,12,9,16,8
N20003307,NI data zone,34,11,16,25,17,6,14,30,7
N20003308,NI data zone,19,26,34,58,12,16,13,14,2
N20003309,NI data zone,20,26,25,53,25,13,14,12,4
N20003310,NI data zone,24,30,28,54,25,4,9,18,6
N20003311,NI data zone,20,35,34,53,28,18,21,31,3
N20003312,NI data zone,28,18,26,34,15,4,9,20,4
N20003313,NI data zone,17,21,31,52,33,10,5,26,10
N20003314,NI data zone,11,4,22,42,22,2,11,19,4
N20003315,NI data zone,21,33,36,79,17,30,15,15,8
N20003316,NI data zone,12,14,23,36,16,3,8,17,4
N20003317,NI data zone,24,32,33,82,41,3,11,49,21
N20003318,NI data zone,32,60,25,52,19,33,26,29,8
N20003319,NI data zone,24,28,38,103,44,17,15,24,22
N20003320,NI data zone,12,17,24,42,19,6,10,21,7
N20003321,NI data zone,21,29,28,84,30,7,10,22,14
N20003322,NI data zone,14,26,14,52,24,3,11,8,7
N20003323,NI data zone,24,19,18,43,33,2,8,19,7
N20003324,NI data zone,27,27,39,81,42,13,16,31,18
N20003325,NI data zone,20,15,17,47,15,8,8,13,6
N20003326,NI data zone,19,18,20,57,28,10,11,23,10
N20003327,NI data zone,28,23,27,68,26,9,19,19,11
N20003328,NI data zone,26,29,43,67,30,8,16,33,22
N20003329,NI data zone,15,44,37,53,14,15,12,11,8
N20003330,NI data zone,26,38,30,47,30,14,12,18,12
N20003331,NI data zone,15,33,26,72,21,5,10,25,10
N20003332,NI data zone,13,23,22,63,20,21,3,5,7
N20003333,NI data zone,19,24,17,41,29,7,5,18,10
N20003334,NI data zone,4,16,9,52,12,19,3,4,5
N20003335,NI data zone,38,47,36,61,26,33,17,31,26
N20003336,NI data zone,31,36,22,82,43,15,8,20,8
N20003337,NI data zone,28,13,34,74,23,7,5,33,10
N20003338,NI data zone,22,43,32,100,11,26,14,13,4
N20003339,NI data zone,28,47,16,18,15,14,15,8,8
N20003340,NI data zone,56,69,38,24,12,16,10,28,7
N20003341,NI data zone,40,69,37,58,18,23,17,20,5
N20003342,NI data zone,32,51,27,62,20,34,19,22,12
N20003343,NI data zone,21,54,21,38,21,21,20,16,13
N20003344,NI data zone,12,19,22,38,25,12,10,14,8
N20003345,NI data zone,22,32,17,30,17,17,7,16,9
N20003346,NI data zone,14,30,8,25,14,26,13,6,3
N20003347,NI data zone,22,17,25,44,23,5,12,30,12
N20003348,NI data zone,18,47,35,26,4,12,3,15,3
N20003349,NI data zone,32,72,59,70,16,26,14,38,5
N20003350,NI data zone,34,50,40,43,25,25,15,24,9
N20003351,NI data zone,28,7,22,27,17,4,6,37,2
N20003352,NI data zone,15,20,43,43,32,5,9,19,11
N20003353,NI data zone,26,35,24,39,24,20,20,8,4
N20003354,NI data zone,29,10,36,36,23,8,8,28,1
N20003355,NI data zone,18,20,41,78,18,8,10,25,4
N20003356,NI data zone,18,15,22,49,29,2,6,22,12
N20003357,NI data zone,18,35,29,47,12,22,10,22,11
N20003358,NI data zone,31,33,49,53,34,4,14,40,7
N20003359,NI data zone,16,23,33,59,30,7,11,29,5
N20003360,NI data zone,8,10,29,38,12,5,9,21,8
N20003361,NI data zone,17,10,30,25,30,6,7,28,9
N20003362,NI data zone,22,14,23,27,26,2,10,24,6
N20003363,NI data zone,14,11,22,36,27,0,8,22,8
N20003364,NI data zone,22,26,14,31,13,14,14,15,10
N20003365,NI data zone,24,33,34,44,24,7,11,25,9
N20003366,NI data zone,19,28,39,54,17,12,8,24,10
N20003367,NI data zone,21,5,19,26,12,2,5,20,3
N20003368,NI data zone,26,45,28,26,11,30,12,11,3
N20003369,NI data zone,34,62,15,36,14,34,18,18,13
N20003370,NI data zone,21,24,35,79,25,10,15,32,4
N20003371,NI data zone,31,22,43,61,34,5,14,29,13
N20003372,NI data zone,20,38,19,20,6,14,9,8,7
N20003373,NI data zone,15,46,22,56,7,22,11,10,5
N20003374,NI data zone,42,47,16,6,5,10,11,11,17
N20003375,NI data zone,45,61,28,21,11,12,12,20,5
N20003376,NI data zone,25,51,17,16,9,21,9,10,2
N20003377,NI data zone,27,30,23,18,10,28,18,16,5
N20003378,NI data zone,35,74,16,30,14,30,13,10,7
N20003379,NI data zone,30,57,15,16,11,32,17,9,9
N20003380,NI data zone,36,81,25,37,15,33,20,15,6
N20003381,NI data zone,30,12,35,41,31,7,4,33,7
N20003382,NI data zone,20,35,19,30,11,10,8,22,5
N20003383,NI data zone,27,17,35,43,17,12,6,29,6
N20003384,NI data zone,32,49,30,44,23,25,15,11,4
N20003385,NI data zone,16,35,37,40,20,11,8,22,3
N20003386,NI data zone,7,20,37,51,15,17,10,10,1
N20003387,NI data zone,28,19,44,76,23,7,5,20,8
N20003388,NI data zone,31,49,28,35,26,32,16,23,11
N20003389,NI data zone,33,18,22,27,19,16,5,24,7
N20003390,NI data zone,8,14,21,63,10,12,2,8,2
N20003391,NI data zone,55,48,31,38,26,20,15,39,1
N20003392,NI data zone,21,16,39,62,32,7,9,30,20
N20003393,NI data zone,23,12,33,55,37,9,11,29,14
N20003394,NI data zone,20,25,18,71,31,9,10,21,13
N20003395,NI data zone,25,24,38,67,26,9,15,25,15
N20003396,NI data zone,26,33,45,49,38,15,9,24,6
N20003397,NI data zone,39,29,29,49,37,12,10,41,5
N20003398,NI data zone,11,14,27,55,23,12,7,10,7
N20003399,NI data zone,28,26,35,64,23,12,16,30,4
N20003400,NI data zone,23,12,34,29,25,7,9,30,8
N20003401,NI data zone,19,43,29,43,17,12,8,15,15
N20003402,NI data zone,10,30,31,29,18,12,14,12,5
N20003403,NI data zone,9,30,8,31,11,26,17,20,7
N20003404,NI data zone,13,57,11,20,4,21,11,10,6
N20003405,NI data zone,35,9,30,43,34,7,16,33,13
N20003406,NI data zone,39,58,6,19,12,20,15,14,13
N20003407,NI data zone,28,38,12,23,15,17,18,10,6
N20003408,NI data zone,63,65,10,10,1,13,5,6,3
N20003409,NI data zone,38,36,28,24,16,21,16,20,13
N20003410,NI data zone,27,61,16,27,9,26,26,12,10
N20003411,NI data zone,12,29,32,96,17,39,14,10,7
N20003412,NI data zone,6,14,15,69,17,22,8,4,10
N20003413,NI data zone,28,43,17,32,11,40,22,10,13
N20003414,NI data zone,21,18,25,90,25,9,11,38,17
N20003415,NI data zone,5,25,9,16,9,11,4,7,3
N20003416,NI data zone,22,48,7,35,11,60,27,8,12
N20003417,NI data zone,12,46,25,30,15,45,26,13,13
N20003418,NI data zone,11,16,16,51,25,13,17,14,10
N20003419,NI data zone,33,95,22,33,14,60,17,8,14
N20003420,NI data zone,47,70,23,59,21,31,22,14,22
N20003421,NI data zone,28,17,37,62,37,19,10,31,11
N20003422,NI data zone,27,22,16,45,34,8,10,24,10
N20003423,NI data zone,22,27,27,51,22,7,16,25,12
N20003424,NI data zone,33,20,24,38,21,5,13,29,7
N20003425,NI data zone,18,24,12,31,20,23,14,4,9
N20003426,NI data zone,9,21,10,25,12,43,11,15,8
N20003427,NI data zone,23,40,17,15,9,18,5,12,4
N20003428,NI data zone,47,46,32,30,16,22,14,18,11
N20003429,NI data zone,33,41,26,52,40,10,9,37,9
N20003430,NI data zone,22,40,19,32,15,27,13,10,13
N20003431,NI data zone,29,25,17,39,10,39,16,14,6
N20003432,NI data zone,10,18,20,27,21,3,2,10,1
N20003433,NI data zone,21,13,28,45,20,5,8,33,9
N20003434,NI data zone,16,19,32,33,12,10,7,20,3
N20003435,NI data zone,9,24,36,49,12,8,4,12,4
N20003436,NI data zone,51,35,43,52,22,15,21,26,6
N20003437,NI data zone,29,28,43,39,15,5,7,35,3
N20003438,NI data zone,29,20,34,33,12,13,12,45,6
N20003439,NI data zone,14,16,25,21,21,4,9,25,3
N20003440,NI data zone,38,50,21,27,12,36,11,13,6
N20003441,NI data zone,39,23,21,15,11,12,19,16,8
N20003442,NI data zone,31,14,28,17,7,11,0,46,0
N20003443,NI data zone,45,76,35,33,9,20,9,12,8
N20003444,NI data zone,12,42,17,27,4,54,13,7,4
N20003445,NI data zone,33,37,24,22,13,14,20,13,3
N20003446,NI data zone,20,55,26,21,2,17,14,9,6
N20003447,NI data zone,8,14,33,37,8,11,4,20,3
N20003448,NI data zone,30,31,75,66,31,10,15,56,7
N20003449,NI data zone,28,55,19,14,3,10,6,8,1
N20003450,NI data zone,72,45,22,21,15,14,8,19,6
N20003451,NI data zone,42,58,49,17,8,8,9,21,4
N20003452,NI data zone,26,27,40,41,24,8,3,31,1
N20003453,NI data zone,17,13,32,34,31,3,10,34,4
N20003454,NI data zone,22,8,35,48,13,3,6,34,3
N20003455,NI data zone,23,17,25,54,7,3,1,13,0
N20003456,NI data zone,24,20,30,43,29,5,7,29,14
N20003457,NI data zone,20,27,38,36,19,4,12,36,11
N20003458,NI data zone,14,9,21,24,19,2,9,30,5
N20003459,NI data zone,27,14,40,27,18,6,5,14,5
N20003460,NI data zone,21,21,31,54,14,3,5,22,2
N20003461,NI data zone,14,11,27,25,13,4,4,21,11
N20003462,NI data zone,4,10,29,40,23,6,5,5,1
N20003463,NI data zone,41,32,47,65,44,12,15,34,9
N20003464,NI data zone,14,18,23,23,16,6,8,19,5
N20003465,NI data zone,44,45,27,36,16,41,19,15,8
N20003466,NI data zone,13,20,58,62,16,11,15,13,5
N20003467,NI data zone,41,27,72,82,36,5,6,56,8
N20003468,NI data zone,15,31,58,87,14,9,5,5,5
N20003469,NI data zone,53,36,67,54,27,4,15,37,6
N20003470,NI data zone,22,26,46,64,17,7,8,24,7
N20003471,NI data zone,21,18,41,51,35,10,10,49,12
N20003472,NI data zone,30,31,21,25,23,14,7,20,6
N20003473,NI data zone,24,20,49,59,20,9,9,40,5
N20003474,NI data zone,33,17,49,61,27,3,13,38,10
N20003475,NI data zone,32,19,38,72,21,6,5,35,4
N20003476,NI data zone,21,17,50,48,35,5,12,37,6
N20003477,NI data zone,6,8,47,63,23,7,7,13,3
N20003478,NI data zone,32,14,27,47,23,3,11,41,8
N20003479,NI data zone,14,14,25,24,18,2,9,27,5
N20003480,NI data zone,9,22,53,60,15,12,7,13,5
N20003481,NI data zone,16,8,28,30,15,5,8,30,2
N20003482,NI data zone,20,30,59,48,14,8,9,21,5
N20003483,NI data zone,30,39,32,40,9,10,6,29,3
N20003484,NI data zone,5,21,40,71,23,15,8,16,6
N20003485,NI data zone,10,21,8,24,7,34,9,6,7
N20003486,NI data zone,19,31,11,32,11,42,17,12,4
N20003487,NI data zone,44,38,50,33,23,9,10,49,7
N20003488,NI data zone,10,32,47,82,25,13,13,16,6
N20003489,NI data zone,9,50,51,45,4,5,7,6,1
N20003490,NI data zone,30,31,37,34,22,9,10,36,2
N20003491,NI data zone,29,21,46,53,32,18,17,24,3
N20003492,NI data zone,24,27,72,72,24,13,14,20,5
N20003493,NI data zone,41,47,23,45,12,47,21,11,10
N20003494,NI data zone,38,23,24,52,13,8,10,48,3
N20003495,NI data zone,26,67,21,24,7,35,9,13,7
N20003496,NI data zone,36,39,54,61,15,5,8,33,2
N20003497,NI data zone,20,19,25,33,25,7,6,17,4
N20003498,NI data zone,19,26,32,26,16,4,4,21,6
N20003499,NI data zone,31,67,18,15,3,17,9,9,8
N20003500,NI data zone,25,42,17,12,8,9,7,11,10
N20003501,NI data zone,23,22,34,32,23,4,4,41,3
N20003502,NI data zone,43,55,40,56,31,28,16,37,6
N20003503,NI data zone,74,62,31,12,8,25,10,11,7
N20003504,NI data zone,62,115,37,25,5,16,8,33,2
N20003505,NI data zone,29,66,40,73,16,43,13,8,3
N20003506,NI data zone,40,90,39,35,15,41,23,26,12
N20003507,NI data zone,7,23,32,54,22,6,9,7,2
N20003508,NI data zone,20,12,39,39,25,4,5,48,3
N20003509,NI data zone,35,90,28,14,3,23,12,14,8
N20003510,NI data zone,23,50,5,1,2,15,8,14,4
N20003511,NI data zone,7,35,28,39,12,19,5,6,3
N20003512,NI data zone,29,59,15,13,3,30,9,9,4
N20003513,NI data zone,40,48,14,14,2,10,8,5,7
N20003514,NI data zone,45,18,46,32,27,16,9,53,6
N20003515,NI data zone,22,36,21,35,15,44,16,6,7
N20003516,NI data zone,30,49,22,23,10,18,13,22,5
N20003517,NI data zone,18,19,10,16,10,22,21,12,5
N20003518,NI data zone,36,66,25,33,11,31,8,4,5
N20003519,NI data zone,17,32,35,19,14,16,10,19,7
N20003520,NI data zone,16,40,23,33,16,53,19,5,7
N20003521,NI data zone,73,85,25,32,8,30,16,23,5
N20003522,NI data zone,17,35,23,15,15,13,9,23,5
N20003523,NI data zone,28,28,46,37,31,1,10,38,10
N20003524,NI data zone,30,26,19,23,12,24,10,12,4
N20003525,NI data zone,14,7,37,26,18,4,8,24,8
N20003526,NI data zone,22,60,17,20,9,24,9,18,7
N20003527,NI data zone,42,44,8,18,6,30,15,6,4
N20003528,NI data zone,13,8,45,54,26,3,4,25,3
N20003529,NI data zone,32,57,36,13,6,9,9,13,5
N20003530,NI data zone,1,10,20,49,13,8,12,10,2
N20003531,NI data zone,46,52,11,22,8,16,13,17,5
N20003532,NI data zone,18,68,26,24,14,57,15,13,7
N20003533,NI data zone,14,69,14,30,12,51,17,14,13
N20003534,NI data zone,15,56,21,23,10,29,19,9,7
N20003535,NI data zone,29,39,43,50,13,15,7,33,7
N20003536,NI data zone,26,44,40,78,19,22,10,16,8
N20003537,NI data zone,41,14,27,63,30,3,5,48,5
N20003538,NI data zone,24,14,34,62,20,1,10,40,8
N20003539,NI data zone,27,17,30,36,9,0,5,29,4
N20003540,NI data zone,31,14,23,27,13,2,11,39,4
N20003541,NI data zone,33,4,28,25,7,1,4,38,0
N20003542,NI data zone,42,17,36,33,15,4,7,39,3
N20003543,NI data zone,65,21,34,11,11,0,8,48,4
N20003544,NI data zone,23,16,21,40,15,4,7,15,2
N20003545,NI data zone,25,14,35,41,21,11,7,33,6
N20003546,NI data zone,31,37,33,65,12,41,10,24,8
N20003547,NI data zone,35,34,44,57,27,8,9,65,9
N20003548,NI data zone,27,10,40,66,27,4,12,50,7
N20003549,NI data zone,38,13,36,60,25,0,4,54,8
N20003550,NI data zone,52,29,36,52,14,11,12,53,7
N20003551,NI data zone,35,14,37,32,21,4,2,38,2
N20003552,NI data zone,53,72,26,13,8,9,13,16,0
N20003553,NI data zone,41,21,58,77,31,13,12,52,5
N20003554,NI data zone,19,37,73,149,61,14,10,21,18
N20003555,NI data zone,37,35,32,39,15,6,6,39,8
N20003556,NI data zone,16,28,54,54,11,13,9,8,2
N20003557,NI data zone,0,25,46,36,3,7,2,1,4
N20003558,NI data zone,34,83,28,20,3,19,17,14,3
N20003559,NI data zone,39,27,37,38,17,6,7,28,6
N20003560,NI data zone,14,10,17,47,6,4,3,30,1
N20003561,NI data zone,27,74,55,31,9,19,13,7,8
N20003562,NI data zone,21,14,40,97,37,10,8,24,5
N20003563,NI data zone,86,48,19,10,2,4,3,19,0
N20003564,NI data zone,28,31,32,30,6,6,7,14,13
N20003565,NI data zone,25,6,27,52,14,3,2,29,3
N20003566,NI data zone,29,30,29,31,12,8,5,19,5
N20003567,NI data zone,31,16,32,57,23,4,5,47,6
N20003568,NI data zone,20,28,45,70,23,8,3,35,10
N20003569,NI data zone,32,42,62,73,34,15,14,51,13
N20003570,NI data zone,24,40,12,21,2,22,11,3,5
N20003571,NI data zone,23,54,21,38,16,30,15,12,5
N20003572,NI data zone,24,54,26,39,12,24,20,24,6
N20003573,NI data zone,23,43,29,36,18,28,13,11,11
N20003574,NI data zone,32,41,16,34,19,12,12,24,5
N20003575,NI data zone,16,11,18,39,21,3,4,22,6
N20003576,NI data zone,15,32,33,65,4,20,6,3,6
N20003577,NI data zone,40,53,17,23,15,20,12,14,6
N20003578,NI data zone,30,15,43,53,26,8,8,76,6
N20003579,NI data zone,40,37,15,27,12,0,5,27,5
N20003580,NI data zone,42,22,28,40,16,11,7,45,2
N20003581,NI data zone,22,15,38,77,25,7,8,50,5
N20003582,NI data zone,50,44,20,31,7,8,11,26,3
N20003583,NI data zone,34,18,16,33,20,6,5,24,6
N20003584,NI data zone,47,11,34,44,16,5,4,60,5
N20003585,NI data zone,42,16,25,37,18,3,5,53,3
N20003586,NI data zone,83,89,41,47,16,9,17,35,5
N20003587,NI data zone,40,23,32,22,14,9,12,33,7
N20003588,NI data zone,44,29,24,27,16,6,10,33,5
N20003589,NI data zone,56,22,43,37,15,5,5,47,3
N20003590,NI data zone,9,46,26,35,5,7,7,4,2
N20003591,NI data zone,13,4,16,21,15,0,6,24,2
N20003592,NI data zone,22,88,36,27,6,22,12,9,7
N20003593,NI data zone,42,35,26,16,7,8,4,21,5
N20003594,NI data zone,32,29,42,48,18,10,15,27,4
N20003595,NI data zone,49,46,49,51,7,2,6,40,2
N20003596,NI data zone,30,63,33,33,12,16,11,11,8
N20003597,NI data zone,10,38,29,35,2,10,5,2,8
N20003598,NI data zone,29,15,21,30,12,11,6,25,2
N20003599,NI data zone,32,105,43,27,4,29,15,16,16
N20003600,NI data zone,20,19,32,41,11,9,8,25,2
N20003601,NI data zone,14,25,28,26,17,8,4,11,3
N20003602,NI data zone,15,57,24,33,10,12,7,14,5
N20003603,NI data zone,20,46,33,37,17,23,12,17,5
N20003604,NI data zone,28,12,29,24,9,6,5,32,1
N20003605,NI data zone,45,64,50,64,26,21,14,30,9
N20003606,NI data zone,27,40,19,11,12,6,9,17,1
N20003607,NI data zone,13,30,21,34,6,33,18,8,4
N20003608,NI data zone,22,80,13,6,2,15,4,10,6
N20003609,NI data zone,14,45,10,25,5,74,17,8,6
